
2023/12/09 (15:29:21) | ===> btop++ v.1.2.13
2023/12/09 (15:29:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (15:29:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (15:29:21) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (15:29:38) | ===> btop++ v.1.2.13
2023/12/09 (15:29:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (15:29:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (15:29:38) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...
2023/12/09 (15:29:45) | ERROR: Exception during Config::unlock() : key not found

2023/12/09 (15:30:03) | ===> btop++ v.1.2.13
2023/12/09 (15:30:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (15:30:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (15:30:03) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (15:38:21) | ===> btop++ v.1.2.13
2023/12/09 (15:38:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (15:38:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (15:38:21) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (15:43:00) | ===> btop++ v.1.2.13
2023/12/09 (15:43:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (15:43:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (15:43:00) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (18:09:26) | ===> btop++ v.1.2.13
2023/12/09 (18:09:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (18:09:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (18:09:27) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (18:18:46) | ===> btop++ v.1.2.13
2023/12/09 (18:18:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (18:18:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (18:18:46) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (19:23:11) | ===> btop++ v.1.2.13
2023/12/09 (19:23:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (19:23:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (19:23:11) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (19:32:55) | ===> btop++ v.1.2.13
2023/12/09 (19:32:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (19:32:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (19:32:55) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (21:18:37) | ===> btop++ v.1.2.13
2023/12/09 (21:18:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (21:18:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (21:18:37) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/12/09 (22:39:51) | ===> btop++ v.1.2.13
2023/12/09 (22:39:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2023/12/09 (22:39:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2023/12/09 (22:39:51) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...
